threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.18000000000000002,20163,0.9021970936864554,0.8346107988417646,0.9969481180061037,0.908585203040979,0.9684263368585021,0.9611430993606485,0.18794154650150005,0.003051881993896236,8391,1942,30,9800
0.19,20163,0.9021474978921787,0.8345967123754365,0.9968463886063073,0.9085346066478142,0.9684263368585021,0.9611430993606485,0.18794154650150005,0.0031536113936927773,8391,1942,31,9799
0.2,20163,0.9021474978921787,0.8346537183746486,0.9967446592065107,0.908526125457833,0.9684263368585021,0.9611430993606485,0.18784476918610277,0.0032553407934893183,8392,1941,32,9798
0.21000000000000002,20163,0.9021474978921787,0.8348819367487853,0.9963377416073245,0.9084921849635916,0.9684263368585021,0.9611430993606485,0.1874576599245137,0.003662258392675483,8396,1937,36,9794
0.22,20163,0.9020483063036254,0.8349108894005287,0.9960325534079348,0.90838242798163,0.9684263368585021,0.9611430993606485,0.18736088260911643,0.0039674465920651065,8397,1936,39,9791
0.23,20163,0.9019987105093488,0.8349539406345957,0.9958290946083418,0.9083232810615199,0.9684263368585021,0.9611430993606485,0.18726410529371915,0.004170905391658189,8398,1935,41,9789
0.24000000000000002,20163,0.9021474978921787,0.8353393085787452,0.9955239064089522,0.9084242283592481,0.9684263368585021,0.9611430993606485,0.18668344140133553,0.004476093591047813,8404,1929,44,9786
0.25,20163,0.9019491147150721,0.8352830672017761,0.9951169888097661,0.9082215310338424,0.9684263368585021,0.9611430993606485,0.18668344140133553,0.0048830111902339775,8404,1929,48,9782
0.26,20163,0.9021474978921787,0.8355684633125481,0.9951169888097661,0.9083902121929702,0.9684263368585021,0.9611430993606485,0.18629633213974645,0.0048830111902339775,8408,1925,48,9782
0.27,20163,0.9020979020979021,0.8356117566643882,0.9949135300101729,0.9083310114237949,0.9684263368585021,0.9611430993606485,0.18619955482434916,0.00508646998982706,8409,1924,50,9780
0.28,20163,0.9020979020979021,0.8357838946828517,0.9946083418107833,0.9083054626532887,0.9684263368585021,0.9611430993606485,0.18590922287815737,0.005391658189216684,8412,1921,53,9777
0.29000000000000004,20163,0.9023954768635619,0.8363278576317591,0.9944048830111902,0.9085416860303002,0.9684263368585021,0.9611430993606485,0.1851350043549792,0.005595116988809766,8420,1913,55,9775
0.3,20163,0.9027426474234985,0.8369444206559904,0.9942014242115972,0.9088203840610034,0.9684263368585021,0.9611430993606485,0.18426400851640376,0.0057985757884028485,8429,1904,57,9773
0.31,20163,0.9027426474234985,0.8372910415773682,0.9935910478128179,0.908769481274715,0.9684263368585021,0.9611430993606485,0.18368334462402014,0.006408952187182095,8435,1898,63,9767
0.32,20163,0.9026930516292219,0.8373927958833619,0.9932858596134283,0.9087017217310377,0.9684263368585021,0.9611430993606485,0.1834897899932256,0.0067141403865717195,8437,1896,66,9764
0.33,20163,0.9027922432177752,0.8375943719972546,0.9931841302136317,0.908777808805734,0.9684263368585021,0.9611430993606485,0.18319945804703378,0.00681586978636826,8440,1893,67,9763
0.34,20163,0.9027426474234985,0.8378123121833949,0.992675483214649,0.9086930204404712,0.9684263368585021,0.9611430993606485,0.1828123487854447,0.007324516785350966,8444,1889,72,9758
0.35000000000000003,20163,0.9024946684521152,0.8377426559010479,0.9921668362156664,0.9084388971684053,0.9684263368585021,0.9611430993606485,0.1828123487854447,0.007833163784333673,8444,1889,77,9753
0.36000000000000004,20163,0.9024946684521152,0.838091143594153,0.9915564598168871,0.9083876980428705,0.9684263368585021,0.9611430993606485,0.18223168489306107,0.00844354018311292,8450,1883,83,9747
0.37,20163,0.9026930516292219,0.8384377150722643,0.9914547304170905,0.9085485224200616,0.9684263368585021,0.9611430993606485,0.1817477983160747,0.008545269582909461,8455,1878,84,9746
0.38,20163,0.9027426474234985,0.838801343322139,0.9909460834181079,0.9085482441822507,0.9684263368585021,0.9611430993606485,0.1811671344236911,0.009053916581892167,8461,1872,89,9741
0.39,20163,0.9027426474234985,0.8392102767479955,0.990233977619532,0.9084884968967287,0.9684263368585021,0.9611430993606485,0.18048969321591019,0.009766022380467955,8468,1865,96,9734
0.4,20163,0.902941030600605,0.8400863930885529,0.9892166836215667,0.9085727633730437,0.9684263368585021,0.9611430993606485,0.1791348108003484,0.010783316378433367,8482,1851,106,9724
0.41000000000000003,20163,0.9028914348063284,0.8404844290657439,0.9884028484231943,0.9084618980832164,0.9684263368585021,0.9611430993606485,0.1784573695925675,0.011597151576805697,8489,1844,114,9716
0.42000000000000004,20163,0.9028914348063284,0.8407792207792207,0.9878942014242116,0.9084190832553789,0.9684263368585021,0.9611430993606485,0.17797348301558114,0.012105798575788402,8494,1839,119,9711
0.43,20163,0.9031394137777117,0.8416167924364646,0.9870803662258393,0.9085631349782293,0.9684263368585021,0.9611430993606485,0.17671537791541664,0.012919633774160732,8507,1826,127,9703
0.44,20163,0.9030402221891584,0.8420641125879593,0.9860630722278738,0.9083922965184387,0.9684263368585021,0.9611430993606485,0.17594115939223845,0.013936927772126144,8515,1818,137,9693
0.45,20163,0.9029906263948817,0.8426457789382071,0.9849440488301119,0.9082551594746717,0.9684263368585021,0.9611430993606485,0.17497338623826575,0.015055951169888098,8525,1808,148,9682
0.46,20163,0.9031394137777117,0.8436436611115958,0.9836215666327569,0.9082711004649852,0.9684263368585021,0.9611430993606485,0.17342494919190943,0.016378433367243133,8541,1792,161,9669
0.47000000000000003,20163,0.9033873927490949,0.8444327914700227,0.9829094608341811,0.9084242196314404,0.9684263368585021,0.9611430993606485,0.17226362140714216,0.017090539165818923,8553,1780,168,9662
0.48000000000000004,20163,0.903089817983435,0.8448940269749519,0.9813835198372329,0.9080384036144579,0.9684263368585021,0.9611430993606485,0.17139262556856671,0.01861648016276704,8562,1771,183,9647
0.49,20163,0.903089817983435,0.8458025992272568,0.9798575788402848,0.9079083796776322,0.9684263368585021,0.9611430993606485,0.16994096583760768,0.02014242115971516,8577,1756,198,9632
0.5,20163,0.9032882011605415,0.8470142680993482,0.9783316378433368,0.9079493957703928,0.9684263368585021,0.9611430993606485,0.16810219684505953,0.021668362156663276,8596,1737,213,9617
0.51,20163,0.9032882011605415,0.8477493380406002,0.9771108850457783,0.9078449905482041,0.9684263368585021,0.9611430993606485,0.16694086906029226,0.02288911495422177,8608,1725,225,9605
0.52,20163,0.9035857759262015,0.8489380530973452,0.9758901322482197,0.9079981069569333,0.9684263368585021,0.9611430993606485,0.1651988773831414,0.024109867751780263,8626,1707,237,9593
0.53,20163,0.9038337548975847,0.8504307664979128,0.974059003051882,0.9080563326852862,0.9684263368585021,0.9611430993606485,0.16297299912900415,0.025940996948118005,8649,1684,255,9575
0.54,20163,0.903932946486138,0.8517693199037347,0.9721261444557477,0.9079766259679795,0.9684263368585021,0.9611430993606485,0.16094067550566146,0.02787385554425229,8670,1663,274,9556
0.55,20163,0.9036353717204781,0.8531387122772455,0.969175991861648,0.9074629709006048,0.9684263368585021,0.9611430993606485,0.15871479725152424,0.030824008138351983,8693,1640,303,9527
