threshold,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp
0.16,20163,0.9032882011605415,0.8345219901511293,0.9998982706002034,0.9097556460570159,0.9855602781397765,0.9829170824861801,0.18861898770928096,0.0001017293997965412,8384,1949,1,9829
0.17,20163,0.9035857759262015,0.8350611828687967,0.9996948118006104,0.9099916658949903,0.9855602781397765,0.9829170824861801,0.18784476918610277,0.0003051881993896236,8392,1941,3,9827
0.18000000000000002,20163,0.904081733868968,0.8358285130996937,0.9995930824008138,0.9104048920596683,0.9855602781397765,0.9829170824861801,0.1867802187167328,0.0004069175991861648,8403,1930,4,9826
0.19,20163,0.9046768834002876,0.8366825613079019,0.9995930824008138,0.9109112820988227,0.9855602781397765,0.9829170824861801,0.18561889093196554,0.0004069175991861648,8415,1918,4,9826
0.2,20163,0.9052720329316074,0.8375959079283888,0.9994913530010173,0.9114100185528757,0.9855602781397765,0.9829170824861801,0.18436078583180102,0.000508646998982706,8428,1905,5,9825
0.21000000000000002,20163,0.9064623319942469,0.8395452214053685,0.9990844354018311,0.9123931623931624,0.9855602781397765,0.9829170824861801,0.18165102100067745,0.0009155645981688708,8456,1877,9,9821
0.22,20163,0.9070574815255666,0.8407572383073497,0.9984740590030519,0.9128534226190477,0.9855602781397765,0.9829170824861801,0.17990902932352656,0.001525940996948118,8474,1859,15,9815
0.23,20163,0.9080989932053762,0.8426252040202732,0.9978636826042726,0.9136975455265242,0.9855602781397765,0.9829170824861801,0.17729604180780026,0.0021363173957273654,8501,1832,21,9809
0.24000000000000002,20163,0.9094380796508456,0.8448810754912099,0.9973550356052899,0.9148082485770271,0.9855602781397765,0.9829170824861801,0.1741991677150876,0.002644964394710071,8533,1800,26,9804
0.25,20163,0.910082824976442,0.8461272774371816,0.9968463886063073,0.9153238989304563,0.9855602781397765,0.9829170824861801,0.1724571760379367,0.0031536113936927773,8551,1782,31,9799
0.26,20163,0.9113227198333581,0.8483798301854099,0.9961342828077314,0.9163391353172375,0.9855602781397765,0.9829170824861801,0.16936030194522403,0.0038657171922685655,8583,1750,38,9792
0.27,20163,0.913008976838764,0.851374869474417,0.9953204476093591,0.9177375480724135,0.9855602781397765,0.9829170824861801,0.16529565469853866,0.0046795523906408955,8625,1708,46,9784
0.28,20163,0.9137033179586371,0.8529668411867365,0.9944048830111902,0.918271488961954,0.9855602781397765,0.9829170824861801,0.16306977644440143,0.005595116988809766,8648,1685,55,9775
0.29000000000000004,20163,0.9152407875812131,0.8559656351363198,0.9932858596134283,0.919527240194001,0.9855602781397765,0.9829170824861801,0.15900512919771606,0.0067141403865717195,8690,1643,66,9764
0.3,20163,0.9164310866438526,0.8585262787217185,0.9920651068158698,0.9204776063051583,0.9855602781397765,0.9829170824861801,0.1555211458434143,0.007934893184130213,8726,1607,78,9752
0.31,20163,0.9172742151465556,0.860257768361582,0.991353001017294,0.9211645713205407,0.9855602781397765,0.9829170824861801,0.1531984902738798,0.008646998982706003,8750,1583,85,9745
0.32,20163,0.9178197688835986,0.8625676514949872,0.9890132248219735,0.9214729159755461,0.9855602781397765,0.9829170824861801,0.1499080615503726,0.01098677517802645,8784,1549,108,9722
0.33,20163,0.9188116847691316,0.8644897232849897,0.9884028484231943,0.9223029094878732,0.9855602781397765,0.9829170824861801,0.14739185135004354,0.011597151576805697,8810,1523,114,9716
0.34,20163,0.9202003670088776,0.8677641585398587,0.9866734486266531,0.9234064835531014,0.9855602781397765,0.9829170824861801,0.14303687215716637,0.013326551373346898,8855,1478,131,9699
0.35000000000000003,20163,0.9216386450429004,0.8712871287128713,0.9847405900305188,0.9245463228271251,0.9855602781397765,0.9829170824861801,0.13839156101809735,0.015259409969481181,8903,1430,150,9680
0.36000000000000004,20163,0.92253136933988,0.8738469886055344,0.9830111902339776,0.9252202221371122,0.9855602781397765,0.9829170824861801,0.1350043549791929,0.01698880976602238,8938,1395,167,9663
0.37,20163,0.9238208599910728,0.8770685579196218,0.9812817904374365,0.9262531207989245,0.9855602781397765,0.9829170824861801,0.13084293041711023,0.018718209562563582,8981,1352,184,9646
0.38,20163,0.9248623716708823,0.8801316631617445,0.9792472024415056,0.9270477199402899,0.9855602781397765,0.9829170824861801,0.12687506048582212,0.020752797558494403,9022,1311,204,9626
0.39,20163,0.9260526707335218,0.8833318010480831,0.9774160732451679,0.9279953638866084,0.9855602781397765,0.9829170824861801,0.12281041323913675,0.022583926754832145,9064,1269,222,9608
0.4,20163,0.9270941824133313,0.8864644970414202,0.9753814852492371,0.9287997675094449,0.9855602781397765,0.9829170824861801,0.11884254330784864,0.02461851475076297,9105,1228,242,9588
0.41000000000000003,20163,0.9277885235332044,0.8888372956909361,0.9736520854526959,0.9293135255850082,0.9855602781397765,0.9829170824861801,0.11584244653053324,0.02634791454730417,9136,1197,259,9571
0.42000000000000004,20163,0.9282844814759709,0.8909718336131319,0.9718209562563581,0.929641884001557,0.9855602781397765,0.9829170824861801,0.11313268169940965,0.028179043743641913,9164,1169,277,9553
0.43,20163,0.9289788225958439,0.8938285499906209,0.9694811800610377,0.9301190708569198,0.9855602781397765,0.9829170824861801,0.10955192102971063,0.030518819938962362,9201,1132,300,9530
0.44,20163,0.9300699300699301,0.8969451254007166,0.9677517802644965,0.9310041103934233,0.9855602781397765,0.9829170824861801,0.10577760572921707,0.03224821973550356,9240,1093,317,9513
0.45,20163,0.9308634627783564,0.8996588971006254,0.9659206510681587,0.9316130298273155,0.9855602781397765,0.9829170824861801,0.10248717700570986,0.0340793489318413,9274,1059,335,9495
0.46,20163,0.9307146753955264,0.9017627441638876,0.962767039674466,0.9312669126691266,0.9855602781397765,0.9829170824861801,0.09977741217458627,0.03723296032553408,9302,1031,366,9464
0.47000000000000003,20163,0.9305162922184199,0.9040360464001533,0.9593082400813835,0.9308523764868466,0.9855602781397765,0.9829170824861801,0.09687409271266816,0.04069175991861648,9332,1001,400,9430
0.48000000000000004,20163,0.9308138669840798,0.9064276765924641,0.9568667344862666,0.9309645172464988,0.9855602781397765,0.9829170824861801,0.09397077325075003,0.04313326551373347,9362,971,424,9406
0.49,20163,0.9309626543669097,0.9092937524253007,0.9535096642929807,0.9308769490515444,0.9855602781397765,0.9829170824861801,0.09048678989644827,0.046490335707019326,9398,935,457,9373
0.5,20163,0.9314586123096762,0.9121779859484778,0.9509664292980672,0.9311684430720192,0.9855602781397765,0.9829170824861801,0.0870995838575438,0.04903357070193286,9433,900,482,9348
0.51,20163,0.931756187075336,0.9147370486656201,0.9484231943031536,0.9312755968434722,0.9855602781397765,0.9829170824861801,0.0840994870802284,0.05157680569684639,9464,869,507,9323
0.52,20163,0.932599315578039,0.9180732405488106,0.9461851475076297,0.9319172386152998,0.9855602781397765,0.9829170824861801,0.08032517177973483,0.053814852492370294,9503,830,529,9301
0.53,20163,0.9326489113723156,0.9212410501193318,0.9424211597151577,0.9317107512823092,0.9855602781397765,0.9829170824861801,0.07664763379463854,0.05757884028484232,9541,792,566,9264
0.54,20163,0.9323513366066557,0.9236389111289032,0.9388606307222788,0.9311875693673696,0.9855602781397765,0.9829170824861801,0.07384109164811768,0.06113936927772126,9570,763,601,9229
0.55,20163,0.9321529534295492,0.9266841468334006,0.9347914547304171,0.9307201458523245,0.9855602781397765,0.9829170824861801,0.07035710829381593,0.0652085452695829,9606,727,641,9189
0.56,20163,0.9310618459554629,0.9283394234673162,0.9304170905391658,0.9293770958235952,0.9855602781397765,0.9829170824861801,0.06832478467047325,0.06958290946083417,9627,706,684,9146
0.5700000000000001,20163,0.9315082081039527,0.9318205049575795,0.9273652085452696,0.9295875184826391,0.9855602781397765,0.9829170824861801,0.06455046936997967,0.07263479145473041,9666,667,714,9116
0.5800000000000001,20163,0.9303179090413133,0.9339651797671783,0.9222787385554425,0.928085171725444,0.9855602781397765,0.9829170824861801,0.062034259169650635,0.07772126144455747,9692,641,764,9066
0.59,20163,0.9301195258642068,0.9363664628458908,0.9191251271617498,0.9276656912572514,0.9855602781397765,0.9829170824861801,0.05942127165392432,0.08087487283825025,9719,614,795,9035
0.6,20163,0.9292763973615037,0.9385305781673972,0.914852492370295,0.9265402843601895,0.9855602781397765,0.9829170824861801,0.05700183876899255,0.08514750762970498,9744,589,837,8993
0.61,20163,0.9283836730645241,0.9410898379970545,0.9100712105798576,0.9253206454282168,0.9855602781397765,0.9829170824861801,0.05419529662247169,0.08992878942014242,9773,560,884,8946
0.62,20163,0.9279373109160344,0.9432744205736057,0.9067141403865717,0.9246330203848747,0.9855602781397765,0.9829170824861801,0.05187264105293719,0.09328585961342828,9797,536,917,8913
0.63,20163,0.9271933740018846,0.946020908896949,0.9021363173957274,0.9235575921682982,0.9855602781397765,0.9829170824861801,0.04896932159101906,0.09786368260427264,9827,506,962,8868
0.64,20163,0.9262014581163517,0.9474361724951728,0.8984740590030519,0.9223057644110275,0.9855602781397765,0.9829170824861801,0.04742088454466273,0.10152594099694812,9843,490,998,8832
0.65,20163,0.9253087338193721,0.949848681366191,0.893997965412004,0.9210774551933759,0.9855602781397765,0.9829170824861801,0.044904674344333685,0.10600203458799592,9869,464,1042,8788
0.66,20163,0.9238208599910728,0.9515461672473867,0.8890132248219735,0.9192174187440834,0.9855602781397765,0.9829170824861801,0.04306590535178554,0.11098677517802645,9888,445,1091,8739
0.67,20163,0.9226305609284333,0.9534985742487387,0.8844354018311292,0.9176694110196327,0.9855602781397765,0.9829170824861801,0.041033581728442854,0.1155645981688708,9909,424,1136,8694
0.68,20163,0.9214402618657938,0.9558823529411765,0.8794506612410987,0.9160750238423228,0.9855602781397765,0.9829170824861801,0.03861414884351108,0.12054933875890132,9934,399,1185,8645
