group_type,group,n,accuracy,precision,recall,f1,roc_auc,pr_auc,fpr,fnr,tn,fp,fn,tp,recall_ci_low,recall_ci_high
proto,mobile,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,mtp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,mux,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,narp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,netblt,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,nsfnet-igp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,nvp,3,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,3,0.43849391955098227,1.0
proto,ospf,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,20,0,0,31,0.889740999265246,0.9999999999999999
proto,pgm,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,pim,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,pipe,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,pnni,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,pri-enc,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,prm,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,ptp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,pup,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,pvp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,qnx,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,rdp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,rsvp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,rvd,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sat-expak,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sat-mon,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sccopmce,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,scps,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sctp,14,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,14,0.7846829880728186,1.0
proto,sdrp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,secure-vmtp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,sep,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,skip,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sm,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,smp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,snp,2,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,2,0.34237195288961925,1.0
proto,sprite-rpc,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,sps,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
proto,srp,1,1.0,1.0,1.0,1.0,,,,0.0,0,0,0,1,0.20654329147389294,1.0
