,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
66,0.34,0.933343,0.934316,0.899117,0.97227,0.934264,0.869599,9289,1074,273,9572,0.103638,0.02773,0.896362,20208,0.487183,0.526821,6534.0
67,0.345,0.93364,0.934593,0.9,0.971762,0.934505,0.87008,9300,1063,278,9567,0.102576,0.028238,0.897424,20208,0.487183,0.526029,6623.0
68,0.35,0.93369,0.934631,0.900386,0.971356,0.934526,0.870116,9305,1058,282,9563,0.102094,0.028644,0.897906,20208,0.487183,0.525584,6698.0
69,0.355,0.934135,0.935053,0.901528,0.970848,0.934905,0.870878,9319,1044,287,9558,0.100743,0.029152,0.899257,20208,0.487183,0.524644,6784.0
70,0.36,0.934531,0.935433,0.902361,0.970645,0.935258,0.87159,9329,1034,289,9556,0.099778,0.029355,0.900222,20208,0.487183,0.52405,6814.0
71,0.365,0.934927,0.935812,0.903272,0.97034,0.935606,0.87229,9340,1023,292,9553,0.098717,0.02966,0.901283,20208,0.487183,0.523357,6863.0
72,0.37,0.934828,0.93569,0.903864,0.969325,0.935451,0.871974,9348,1015,302,9543,0.097945,0.030675,0.902055,20208,0.487183,0.522466,7055.0
73,0.375,0.934828,0.935672,0.904401,0.968614,0.935406,0.871885,9355,1008,309,9536,0.097269,0.031386,0.902731,20208,0.487183,0.521774,7188.0
74,0.38,0.934828,0.935652,0.905015,0.967801,0.935356,0.871785,9363,1000,317,9528,0.096497,0.032199,0.903503,20208,0.487183,0.520982,7340.0
75,0.385,0.935075,0.935883,0.905754,0.967395,0.93556,0.872201,9372,991,321,9524,0.095629,0.032605,0.904371,20208,0.487183,0.520338,7411.0
76,0.39,0.935521,0.936307,0.906839,0.966988,0.935948,0.872991,9385,978,325,9520,0.094374,0.033012,0.905626,20208,0.487183,0.519497,7478.0
77,0.395,0.935026,0.935789,0.907061,0.965566,0.9354,0.871896,9389,974,339,9506,0.093988,0.034434,0.906012,20208,0.487183,0.518606,7754.0
78,0.4,0.935224,0.935967,0.907875,0.964957,0.935546,0.872201,9399,964,345,9500,0.093023,0.035043,0.906977,20208,0.487183,0.517815,7864.0
79,0.405,0.935372,0.936101,0.908447,0.964551,0.935659,0.872437,9406,957,349,9496,0.092348,0.035449,0.907652,20208,0.487183,0.51727,7937.0
80,0.41,0.93557,0.936289,0.908952,0.964347,0.93583,0.872789,9412,951,351,9494,0.091769,0.035653,0.908231,20208,0.487183,0.516875,7971.0
81,0.415,0.93562,0.936322,0.909509,0.963738,0.935839,0.872818,9419,944,357,9488,0.091093,0.036262,0.908907,20208,0.487183,0.516231,8084.0
82,0.42,0.935719,0.936393,0.910471,0.962722,0.935868,0.8729,9431,932,367,9478,0.089935,0.037278,0.910065,20208,0.487183,0.515143,8272.0
83,0.425,0.935719,0.936381,0.910865,0.962214,0.935836,0.872849,9436,927,372,9473,0.089453,0.037786,0.910547,20208,0.487183,0.514648,8367.0
84,0.43,0.936065,0.936706,0.911875,0.961706,0.936128,0.873458,9448,915,377,9468,0.088295,0.038294,0.911705,20208,0.487183,0.513806,8455.0
85,0.435,0.935966,0.936589,0.912335,0.960894,0.935985,0.873191,9454,909,385,9460,0.087716,0.039106,0.912284,20208,0.487183,0.513114,8609.0
86,0.44,0.936362,0.936962,0.913438,0.960386,0.936324,0.873899,9467,896,390,9455,0.086461,0.039614,0.913539,20208,0.487183,0.512223,8696.0
87,0.445,0.936659,0.937239,0.914369,0.959878,0.936571,0.874419,9478,885,395,9450,0.0854,0.040122,0.9146,20208,0.487183,0.511431,8785.0
88,0.45,0.93651,0.937064,0.915067,0.958659,0.936356,0.874029,9487,876,407,9438,0.084532,0.041341,0.915468,20208,0.487183,0.510392,9016.0
89,0.455,0.936263,0.936807,0.915106,0.95805,0.936086,0.873504,9488,875,413,9432,0.084435,0.04195,0.915565,20208,0.487183,0.510046,9135.0
90,0.46,0.936015,0.936536,0.91563,0.956831,0.935777,0.872929,9495,868,425,9420,0.08376,0.043169,0.91624,20208,0.487183,0.509105,9368.0
91,0.465,0.93562,0.936129,0.915564,0.956018,0.935354,0.872104,9495,868,433,9412,0.08376,0.043982,0.91624,20208,0.487183,0.508709,9528.0
92,0.47,0.935422,0.935914,0.915936,0.955104,0.93511,0.871653,9500,863,442,9403,0.083277,0.044896,0.916723,20208,0.487183,0.508017,9703.0
93,0.475,0.93557,0.936043,0.916691,0.954495,0.935211,0.871892,9509,854,448,9397,0.082409,0.045505,0.917591,20208,0.487183,0.507274,9814.0
94,0.48,0.935521,0.93598,0.91709,0.953885,0.935126,0.871752,9514,849,454,9391,0.081926,0.046115,0.918074,20208,0.487183,0.50673,9929.0
95,0.485,0.935372,0.935809,0.917637,0.952869,0.934921,0.871393,9521,842,464,9381,0.081251,0.047131,0.918749,20208,0.487183,0.505889,10122.0
96,0.49,0.934976,0.935396,0.917818,0.951752,0.934477,0.870552,9524,839,475,9370,0.080961,0.048248,0.919039,20208,0.487183,0.505196,10339.0
97,0.495,0.935125,0.935528,0.918497,0.951244,0.934584,0.870805,9532,831,480,9365,0.080189,0.048756,0.919811,20208,0.487183,0.504553,10431.0
98,0.5,0.935273,0.935657,0.919261,0.950635,0.934685,0.871053,9541,822,486,9359,0.079321,0.049365,0.920679,20208,0.487183,0.50381,10542.0
99,0.505,0.935273,0.935642,0.919756,0.950025,0.934646,0.871015,9547,816,492,9353,0.078742,0.049975,0.921258,20208,0.487183,0.503217,10656.0
100,0.51,0.935125,0.935482,0.91998,0.949416,0.934466,0.870691,9550,813,498,9347,0.078452,0.050584,0.921548,20208,0.487183,0.502771,10773.0
