,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
139,0.705,0.914403,0.906578,0.965578,0.836962,0.896682,0.830389,16689,407,2224,11417,0.023807,0.163038,0.976193,30737,0.443797,0.384683,44887.0
140,0.71,0.913915,0.905969,0.966166,0.835276,0.895966,0.829554,16697,399,2247,11394,0.023339,0.164724,0.976661,30737,0.443797,0.383674,45339.0
141,0.715,0.913655,0.905609,0.966856,0.83403,0.895545,0.829165,16706,390,2264,11377,0.022812,0.16597,0.977188,30737,0.443797,0.382829,45670.0
142,0.72,0.913297,0.905102,0.96794,0.832197,0.894951,0.828653,16720,376,2289,11352,0.021993,0.167803,0.978007,30737,0.443797,0.38156,46156.0
143,0.725,0.912744,0.904419,0.968534,0.830364,0.894143,0.827706,16728,368,2314,11327,0.021526,0.169636,0.978474,30737,0.443797,0.380486,46648.0
144,0.73,0.912125,0.903634,0.969447,0.828092,0.893212,0.826688,16740,356,2345,11296,0.020824,0.171908,0.979176,30737,0.443797,0.379087,47256.0
145,0.735,0.911768,0.903112,0.970712,0.826112,0.892594,0.826217,16756,340,2372,11269,0.019888,0.173888,0.980112,30737,0.443797,0.377688,47780.0
146,0.74,0.911117,0.902327,0.971231,0.824133,0.891656,0.825086,16763,333,2399,11242,0.019478,0.175867,0.980522,30737,0.443797,0.376582,48313.0
147,0.745,0.910629,0.901718,0.971847,0.822447,0.890927,0.824276,16771,325,2422,11219,0.01901,0.177553,0.98099,30737,0.443797,0.375573,48765.0
148,0.75,0.909783,0.900728,0.972193,0.820174,0.889737,0.822758,16776,320,2453,11188,0.018718,0.179826,0.981282,30737,0.443797,0.374402,49380.0
149,0.755,0.90923,0.900076,0.972481,0.818635,0.888951,0.821777,16780,316,2474,11167,0.018484,0.181365,0.981516,30737,0.443797,0.373589,49796.0
150,0.76,0.90897,0.899686,0.973535,0.817096,0.888481,0.82147,16793,303,2495,11146,0.017723,0.182904,0.982277,30737,0.443797,0.372483,50203.0
151,0.765,0.908677,0.89926,0.974593,0.815483,0.887966,0.821107,16806,290,2517,11124,0.016963,0.184517,0.983037,30737,0.443797,0.371344,50630.0
152,0.77,0.907961,0.898409,0.975044,0.81343,0.886935,0.819859,16812,284,2545,11096,0.016612,0.18657,0.983388,30737,0.443797,0.370238,51184.0
153,0.775,0.907018,0.897272,0.975819,0.810571,0.885552,0.81825,16822,274,2584,11057,0.016027,0.189429,0.983973,30737,0.443797,0.368644,51954.0
154,0.78,0.90653,0.896655,0.976545,0.808812,0.884799,0.817478,16831,265,2608,11033,0.015501,0.191188,0.984499,30737,0.443797,0.36757,52425.0
155,0.785,0.906107,0.896127,0.977109,0.807346,0.884152,0.816799,16838,258,2628,11013,0.015091,0.192654,0.984909,30737,0.443797,0.366692,52818.0
156,0.79,0.905521,0.895415,0.977667,0.805513,0.88328,0.815822,16845,251,2653,10988,0.014682,0.194487,0.985318,30737,0.443797,0.365651,53311.0
157,0.795,0.90461,0.89433,0.978294,0.802874,0.881946,0.814261,16853,243,2689,10952,0.014214,0.197126,0.985786,30737,0.443797,0.364219,54023.0
158,0.8,0.903797,0.893369,0.97876,0.800601,0.880761,0.812853,16859,237,2720,10921,0.013863,0.199399,0.986137,30737,0.443797,0.363015,54637.0
159,0.805,0.903081,0.892518,0.979234,0.798548,0.879709,0.811629,16865,231,2748,10893,0.013512,0.201452,0.986488,30737,0.443797,0.361909,55191.0
160,0.81,0.90217,0.891448,0.9797,0.796056,0.878382,0.810049,16871,225,2782,10859,0.013161,0.203944,0.986839,30737,0.443797,0.360608,55865.0
161,0.815,0.901454,0.890604,0.980094,0.794077,0.877334,0.808815,16876,220,2809,10832,0.012869,0.205923,0.987131,30737,0.443797,0.359567,56400.0
162,0.82,0.900706,0.889717,0.980575,0.791951,0.876227,0.80754,16882,214,2838,10803,0.012518,0.208049,0.987482,30737,0.443797,0.358428,56974.0
163,0.825,0.900055,0.888917,0.981328,0.789825,0.875223,0.8065,16891,205,2867,10774,0.011991,0.210175,0.988009,30737,0.443797,0.357192,57545.0
164,0.83,0.899177,0.887883,0.98181,0.787406,0.873927,0.804994,16897,199,2900,10741,0.01164,0.212594,0.98836,30737,0.443797,0.355923,58199.0
