,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
160,0.81,0.906855,0.896852,0.978512,0.807859,0.885034,0.818431,16854,242,2621,11020,0.014155,0.192141,0.985845,30737,0.443797,0.366399,52662.0
161,0.815,0.905846,0.895693,0.978708,0.805366,0.883616,0.81661,16857,239,2655,10986,0.01398,0.194634,0.98602,30737,0.443797,0.365195,53339.0
162,0.82,0.905131,0.894835,0.979265,0.80324,0.882561,0.815397,16864,232,2684,10957,0.01357,0.19676,0.98643,30737,0.443797,0.364024,53912.0
163,0.825,0.903829,0.893324,0.979707,0.799868,0.880701,0.813091,16870,226,2730,10911,0.013219,0.200132,0.986781,30737,0.443797,0.362332,54826.0
164,0.83,0.902886,0.892195,0.980433,0.797082,0.879301,0.811499,16879,217,2768,10873,0.012693,0.202918,0.987307,30737,0.443797,0.360803,55577.0
165,0.835,0.902365,0.891542,0.981187,0.79525,0.878487,0.810691,16888,208,2793,10848,0.012167,0.20475,0.987833,30737,0.443797,0.359697,56068.0
166,0.84,0.901519,0.890514,0.982016,0.792611,0.877206,0.809307,16898,198,2829,10812,0.011582,0.207389,0.988418,30737,0.443797,0.3582,56778.0
167,0.845,0.900739,0.88959,0.982504,0.790411,0.876051,0.807978,16904,192,2859,10782,0.011231,0.209589,0.988769,30737,0.443797,0.357029,57372.0
168,0.85,0.899697,0.888388,0.982806,0.787772,0.874547,0.806141,16908,188,2895,10746,0.010997,0.212228,0.989003,30737,0.443797,0.355728,58088.0
169,0.855,0.898656,0.88717,0.983287,0.784986,0.873018,0.804343,16914,182,2933,10708,0.010646,0.215014,0.989354,30737,0.443797,0.354296,58842.0
170,0.86,0.897257,0.885572,0.983489,0.781614,0.871007,0.801841,16917,179,2979,10662,0.01047,0.218386,0.98953,30737,0.443797,0.352702,59759.0
171,0.865,0.896281,0.884435,0.98389,0.779048,0.869569,0.800152,16922,174,3014,10627,0.010178,0.220952,0.989822,30737,0.443797,0.351401,60454.0
172,0.87,0.895143,0.883078,0.984739,0.77575,0.867839,0.798265,16932,164,3059,10582,0.009593,0.22425,0.990407,30737,0.443797,0.349611,61344.0
173,0.875,0.893971,0.881714,0.985231,0.772671,0.8661,0.79625,16938,158,3101,10540,0.009242,0.227329,0.990758,30737,0.443797,0.34805,62178.0
174,0.88,0.89293,0.88046,0.986189,0.769518,0.864484,0.794574,16949,147,3144,10497,0.008599,0.230482,0.991401,30737,0.443797,0.346293,63027.0
175,0.885,0.891336,0.878634,0.986493,0.765633,0.862143,0.791765,16953,143,3197,10444,0.008365,0.234367,0.991635,30737,0.443797,0.344438,64083.0
176,0.89,0.889775,0.876816,0.987171,0.761528,0.859791,0.789102,16961,135,3253,10388,0.007897,0.238472,0.992103,30737,0.443797,0.342356,65195.0
177,0.895,0.888278,0.875048,0.98814,0.757349,0.857487,0.786629,16972,124,3310,10331,0.007253,0.242651,0.992747,30737,0.443797,0.340144,66324.0
178,0.9,0.886424,0.872922,0.988544,0.752804,0.854717,0.783394,16977,119,3372,10269,0.006961,0.247196,0.993039,30737,0.443797,0.337964,67559.0
179,0.905,0.884049,0.870187,0.989222,0.746866,0.851128,0.779299,16985,111,3453,10188,0.006493,0.253134,0.993507,30737,0.443797,0.335068,69171.0
180,0.91,0.882812,0.86872,0.990138,0.743347,0.849175,0.777304,16995,101,3501,10140,0.005908,0.256653,0.994092,30737,0.443797,0.333182,70121.0
