,threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,false_positive_rate,false_negative_rate,specificity,n,positive_rate_actual,positive_rate_predicted,cost
99,0.505,0.962531,0.953684,0.967151,0.978173,0.972631,0.913402,10407,793,521,23348,0.070804,0.021827,0.929196,35069,0.68063,0.688386,11213.0
100,0.51,0.962674,0.954216,0.967856,0.977628,0.972717,0.913764,10425,775,534,23335,0.069196,0.022372,0.930804,35069,0.68063,0.687502,11455.0
101,0.515,0.962674,0.9545,0.968322,0.977125,0.972704,0.913792,10437,763,546,23323,0.068125,0.022875,0.931875,35069,0.68063,0.686817,11683.0
102,0.52,0.962788,0.954987,0.968989,0.976581,0.97277,0.914093,10454,746,559,23310,0.066607,0.023419,0.933393,35069,0.68063,0.685962,11926.0
103,0.525,0.962959,0.95542,0.969504,0.976287,0.972884,0.914515,10467,733,566,23303,0.065446,0.023713,0.934554,35069,0.68063,0.685392,12053.0
104,0.53,0.962417,0.955141,0.969676,0.975282,0.972471,0.913306,10472,728,590,23279,0.065,0.024718,0.935,35069,0.68063,0.684565,12528.0
105,0.535,0.962274,0.955202,0.969943,0.974779,0.972355,0.913006,10479,721,602,23267,0.064375,0.025221,0.935625,35069,0.68063,0.684023,12761.0
106,0.54,0.962075,0.955221,0.970209,0.974192,0.972197,0.91258,10486,714,616,23253,0.06375,0.025808,0.93625,35069,0.68063,0.683424,13034.0
107,0.545,0.962018,0.955345,0.970481,0.973815,0.972146,0.912477,10493,707,625,23244,0.063125,0.026185,0.936875,35069,0.68063,0.682968,13207.0
108,0.55,0.961989,0.955585,0.970913,0.973313,0.972111,0.912452,10504,696,637,23232,0.062143,0.026687,0.937857,35069,0.68063,0.682312,13436.0
109,0.555,0.962018,0.955914,0.971426,0.97281,0.972118,0.912565,10517,683,649,23220,0.060982,0.02719,0.939018,35069,0.68063,0.681599,13663.0
110,0.56,0.962018,0.956175,0.97186,0.972349,0.972105,0.912609,10528,672,660,23209,0.06,0.027651,0.94,35069,0.68063,0.680972,13872.0
111,0.565,0.96179,0.956149,0.972088,0.971763,0.971925,0.912125,10534,666,674,23195,0.059464,0.028237,0.940536,35069,0.68063,0.680401,14146.0
112,0.57,0.961447,0.956087,0.972391,0.970925,0.971657,0.9114,10542,658,694,23175,0.05875,0.029075,0.94125,35069,0.68063,0.679603,14538.0
113,0.575,0.961305,0.956243,0.972822,0.970254,0.971536,0.911134,10553,647,710,23159,0.057768,0.029746,0.942232,35069,0.68063,0.678833,14847.0
114,0.58,0.961162,0.956328,0.973134,0.96971,0.971419,0.910857,10561,639,723,23146,0.057054,0.03029,0.942946,35069,0.68063,0.678234,15099.0
115,0.585,0.961276,0.956744,0.973696,0.969291,0.971489,0.911178,10575,625,733,23136,0.055804,0.030709,0.944196,35069,0.68063,0.67755,15285.0
116,0.59,0.961219,0.956868,0.973973,0.968914,0.971437,0.911088,10582,618,742,23127,0.055179,0.031086,0.944821,35069,0.68063,0.677094,15458.0
117,0.595,0.961077,0.956929,0.974248,0.968411,0.971321,0.910811,10589,611,754,23115,0.054554,0.031589,0.945446,35069,0.68063,0.676552,15691.0
118,0.6,0.961048,0.957192,0.974727,0.967866,0.971284,0.910813,10601,599,767,23102,0.053482,0.032134,0.946518,35069,0.68063,0.675839,15939.0
119,0.605,0.96102,0.957455,0.975207,0.967322,0.971248,0.910818,10613,587,780,23089,0.052411,0.032678,0.947589,35069,0.68063,0.675126,16187.0
120,0.61,0.960877,0.957517,0.975483,0.966819,0.971132,0.910547,10620,580,792,23077,0.051786,0.033181,0.948214,35069,0.68063,0.674584,16420.0
121,0.615,0.960478,0.957318,0.975629,0.966065,0.970824,0.909699,10624,576,810,23059,0.051429,0.033935,0.948571,35069,0.68063,0.673957,16776.0
122,0.62,0.960478,0.95765,0.976194,0.965478,0.970806,0.909785,10638,562,824,23045,0.050179,0.034522,0.949821,35069,0.68063,0.673159,17042.0
